,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,EDH09 COMDTY,EDM09 COMDTY,EDU09 COMDTY,EDZ09 COMDTY,EDH10 COMDTY,EDM10 COMDTY,EDU10 COMDTY,EDZ10 COMDTY,EDH11 COMDTY,EDM11 COMDTY,EDU11 COMDTY,EDZ11 COMDTY,EDH12 COMDTY,EDM12 COMDTY,EDU12 COMDTY,EDZ12 COMDTY,EDH13 COMDTY,EDM13 COMDTY,EDU13 COMDTY,EDZ13 COMDTY,EDH14 COMDTY,EDM14 COMDTY,EDU14 COMDTY,EDZ14 COMDTY,EDH15 COMDTY,EDM15 COMDTY,EDU15 COMDTY,EDZ15 COMDTY,EDH16 COMDTY,EDM16 COMDTY,EDU16 COMDTY,EDZ16 COMDTY,EDH17 COMDTY,EDM17 COMDTY,EDU17 COMDTY,EDZ17 COMDTY,EDH18 COMDTY,EDM18 COMDTY,EDU18 COMDTY,EDZ18 COMDTY,EDH19 COMDTY,EDM19 COMDTY,EDU19 COMDTY
01/14/2009,99.08,99.115,99.035,98.865,98.72,98.465,98.24,98.02,97.93,97.82,97.73,97.635,97.615,97.575,97.545,97.48,97.465,97.42,97.36,97.26,97.225,97.165,97.1,97,96.965,96.915,96.875,96.81,96.785,96.76,96.74,96.68,96.67,96.65,96.64,96.605,96.62,96.61,96.61,96.585,#N/A,#N/A,#N/A
01/15/2009,98.935,98.97,98.895,98.735,98.61,98.39,98.185,97.98,97.9,97.8,97.715,97.625,97.61,97.575,97.545,97.485,97.475,97.435,97.38,97.28,97.25,97.195,97.135,97.04,97.005,96.96,96.92,96.855,96.825,96.8,96.78,96.72,96.71,96.69,96.68,96.645,96.66,96.65,96.65,96.625,#N/A,#N/A,#N/A
01/16/2009,99,99.055,98.985,98.805,98.65,98.395,98.155,97.92,97.82,97.715,97.625,97.53,97.515,97.475,97.445,97.385,97.375,97.335,97.28,97.18,97.15,97.095,97.035,96.94,96.905,96.86,96.82,96.755,96.73,96.71,96.69,96.63,96.62,96.6,96.59,96.555,96.57,96.56,96.56,96.535,#N/A,#N/A,#N/A
01/19/2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01/20/2009,99.025,99.075,99.01,98.835,98.675,98.41,98.16,97.91,97.8,97.685,97.595,97.505,97.485,97.445,97.415,97.355,97.345,97.305,97.25,97.15,97.12,97.07,97.015,96.925,96.895,96.85,96.81,96.745,96.72,96.695,96.675,96.62,96.61,96.59,96.585,96.55,96.565,96.555,96.555,96.53,#N/A,#N/A,#N/A
01/21/2009,98.89,98.91,98.835,98.665,98.515,98.27,98.045,97.81,97.675,97.535,97.43,97.33,97.305,97.265,97.235,97.175,97.165,97.125,97.07,96.97,96.94,96.89,96.835,96.745,96.72,96.675,96.635,96.57,96.55,96.525,96.505,96.45,96.44,96.42,96.415,96.38,96.395,96.385,96.385,96.36,#N/A,#N/A,#N/A
01/22/2009,98.89,98.935,98.88,98.725,98.565,98.3,98.045,97.79,97.635,97.475,97.36,97.25,97.215,97.165,97.13,97.06,97.045,96.995,96.93,96.825,96.79,96.74,96.68,96.59,96.56,96.515,96.47,96.4,96.375,96.35,96.33,96.275,96.265,96.245,96.24,96.205,96.22,96.21,96.21,96.185,#N/A,#N/A,#N/A
01/23/2009,98.835,98.875,98.82,98.665,98.515,98.275,98.04,97.785,97.62,97.455,97.325,97.2,97.155,97.095,97.05,96.97,96.95,96.895,96.825,96.715,96.675,96.62,96.56,96.47,96.44,96.395,96.35,96.28,96.255,96.23,96.21,96.155,96.145,96.125,96.12,96.085,96.1,96.09,96.09,96.065,#N/A,#N/A,#N/A
01/26/2009,98.855,98.865,98.795,98.63,98.49,98.26,98.03,97.77,97.59,97.415,97.28,97.155,97.105,97.045,97,96.92,96.9,96.845,96.775,96.665,96.625,96.57,96.51,96.42,96.39,96.345,96.3,96.23,96.205,96.18,96.16,96.105,96.095,96.075,96.065,96.03,96.04,96.03,96.03,96.005,#N/A,#N/A,#N/A
01/27/2009,98.92,98.935,98.855,98.68,98.545,98.325,98.11,97.87,97.705,97.525,97.385,97.25,97.2,97.14,97.095,97.01,96.99,96.93,96.855,96.745,96.7,96.64,96.575,96.48,96.445,96.4,96.355,96.29,96.265,96.24,96.22,96.165,96.145,96.12,96.105,96.06,96.065,96.05,96.045,96.015,#N/A,#N/A,#N/A
01/28/2009,98.975,98.975,98.87,98.675,98.51,98.275,98.045,97.795,97.62,97.43,97.275,97.135,97.08,97.015,96.965,96.875,96.85,96.785,96.71,96.6,96.555,96.495,96.43,96.335,96.3,96.255,96.21,96.145,96.12,96.095,96.075,96.02,96,95.975,95.96,95.915,95.92,95.905,95.9,95.87,#N/A,#N/A,#N/A
01/29/2009,98.92,98.9,98.785,98.575,98.385,98.13,97.89,97.625,97.435,97.24,97.08,96.935,96.88,96.815,96.765,96.68,96.655,96.585,96.51,96.4,96.355,96.295,96.23,96.13,96.095,96.05,96.005,95.935,95.91,95.885,95.86,95.805,95.785,95.76,95.745,95.7,95.705,95.69,95.685,95.655,#N/A,#N/A,#N/A
01/30/2009,98.755,98.735,98.635,98.45,98.285,98.035,97.8,97.555,97.39,97.22,97.075,96.935,96.88,96.82,96.775,96.695,96.675,96.61,96.54,96.435,96.395,96.34,96.275,96.18,96.145,96.1,96.055,95.985,95.96,95.935,95.91,95.855,95.835,95.81,95.795,95.75,95.755,95.74,95.735,95.705,#N/A,#N/A,#N/A
02/02/2009,98.68,98.68,98.63,98.495,98.365,98.135,97.915,97.685,97.535,97.365,97.215,97.065,97,96.935,96.885,96.8,96.775,96.705,96.63,96.52,96.48,96.42,96.355,96.26,96.225,96.18,96.135,96.065,96.04,96.015,95.99,95.935,95.915,95.89,95.875,95.83,95.835,95.82,95.815,95.785,#N/A,#N/A,#N/A
02/03/2009,98.755,98.735,98.65,98.49,98.34,98.105,97.88,97.635,97.465,97.265,97.095,96.94,96.865,96.79,96.73,96.635,96.6,96.525,96.445,96.335,96.295,96.235,96.17,96.08,96.045,96,95.955,95.885,95.865,95.84,95.815,95.76,95.745,95.72,95.705,95.66,95.665,95.65,95.645,95.615,#N/A,#N/A,#N/A
02/04/2009,98.75,98.735,98.65,98.47,98.31,98.065,97.825,97.57,97.4,97.2,97.03,96.875,96.8,96.725,96.665,96.57,96.535,96.46,96.38,96.27,96.23,96.17,96.105,96.015,95.98,95.935,95.89,95.82,95.8,95.775,95.75,95.695,95.68,95.655,95.64,95.595,95.6,95.585,95.58,95.55,#N/A,#N/A,#N/A
02/05/2009,98.785,98.785,98.695,98.51,98.34,98.095,97.86,97.61,97.435,97.235,97.06,96.895,96.81,96.725,96.66,96.56,96.52,96.44,96.355,96.24,96.195,96.135,96.07,95.98,95.945,95.9,95.855,95.785,95.765,95.74,95.715,95.66,95.645,95.62,95.605,95.56,95.565,95.55,95.545,95.515,#N/A,#N/A,#N/A
02/06/2009,98.905,98.89,98.78,98.565,98.38,98.12,97.865,97.595,97.405,97.185,96.995,96.815,96.715,96.615,96.54,96.435,96.39,96.31,96.225,96.11,96.065,96.005,95.94,95.85,95.815,95.77,95.725,95.655,95.635,95.61,95.585,95.53,95.515,95.49,95.475,95.43,95.435,95.42,95.415,95.385,#N/A,#N/A,#N/A
02/09/2009,98.89,98.855,98.725,98.495,98.31,98.055,97.81,97.545,97.355,97.13,96.935,96.75,96.645,96.545,96.47,96.37,96.32,96.24,96.155,96.04,95.995,95.935,95.87,95.78,95.745,95.7,95.655,95.585,95.565,95.54,95.515,95.46,95.445,95.42,95.405,95.36,95.365,95.35,95.345,95.315,#N/A,#N/A,#N/A
02/10/2009,98.79,98.77,98.675,98.495,98.345,98.115,97.895,97.66,97.49,97.285,97.105,96.93,96.83,96.735,96.665,96.57,96.525,96.45,96.37,96.265,96.22,96.16,96.095,96.005,95.97,95.925,95.88,95.81,95.79,95.765,95.74,95.685,95.67,95.645,95.63,95.585,95.59,95.575,95.57,95.54,#N/A,#N/A,#N/A
02/11/2009,98.795,98.785,98.72,98.565,98.435,98.22,98.005,97.77,97.6,97.39,97.205,97.03,96.93,96.83,96.75,96.65,96.605,96.53,96.45,96.345,96.3,96.24,96.175,96.085,96.05,96.005,95.96,95.895,95.88,95.855,95.83,95.78,95.77,95.75,95.735,95.69,95.7,95.685,95.68,95.65,#N/A,#N/A,#N/A
02/12/2009,98.805,98.81,98.76,98.62,98.515,98.315,98.105,97.865,97.685,97.465,97.27,97.09,96.985,96.875,96.785,96.675,96.625,96.545,96.46,96.35,96.305,96.245,96.18,96.095,96.06,96.015,95.97,95.905,95.89,95.87,95.85,95.8,95.79,95.775,95.76,95.72,95.73,95.72,95.715,95.685,#N/A,#N/A,#N/A
02/13/2009,98.75,98.725,98.63,98.46,98.34,98.14,97.935,97.695,97.51,97.29,97.09,96.905,96.795,96.685,96.59,96.48,96.425,96.345,96.26,96.15,96.105,96.045,95.985,95.9,95.87,95.825,95.78,95.715,95.7,95.68,95.66,95.61,95.605,95.59,95.575,95.535,95.545,95.535,95.525,95.495,#N/A,#N/A,#N/A
02/16/2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02/17/2009,98.7,98.71,98.665,98.545,98.46,98.28,98.08,97.85,97.67,97.455,97.265,97.08,96.985,96.88,96.795,96.69,96.64,96.565,96.485,96.38,96.34,96.285,96.23,96.15,96.125,96.08,96.035,95.97,95.955,95.935,95.915,95.865,95.86,95.845,95.83,95.79,95.8,95.79,95.78,95.75,#N/A,#N/A,#N/A
02/18/2009,98.6825,98.685,98.63,98.49,98.39,98.205,98.01,97.79,97.62,97.41,97.22,97.03,96.93,96.825,96.74,96.635,96.585,96.51,96.43,96.325,96.285,96.235,96.185,96.11,96.09,96.05,96.01,95.95,95.94,95.92,95.905,95.855,95.855,95.84,95.83,95.795,95.81,95.8,95.795,95.77,#N/A,#N/A,#N/A
02/19/2009,98.725,98.73,98.65,98.48,98.355,98.16,97.96,97.735,97.565,97.355,97.16,96.965,96.86,96.75,96.66,96.55,96.495,96.415,96.335,96.23,96.185,96.13,96.075,95.995,95.97,95.93,95.89,95.83,95.815,95.795,95.78,95.73,95.73,95.715,95.705,95.67,95.685,95.675,95.67,95.645,#N/A,#N/A,#N/A
02/20/2009,98.7625,98.77,98.7,98.54,98.415,98.22,98.02,97.795,97.625,97.42,97.23,97.04,96.94,96.83,96.74,96.63,96.58,96.5,96.42,96.315,96.275,96.22,96.165,96.085,96.06,96.02,95.98,95.92,95.905,95.885,95.87,95.82,95.82,95.805,95.795,95.76,95.775,95.765,95.76,95.735,#N/A,#N/A,#N/A
02/23/2009,98.7825,98.795,98.735,98.565,98.425,98.215,97.995,97.76,97.585,97.385,97.195,97.01,96.915,96.81,96.725,96.62,96.575,96.5,96.425,96.325,96.29,96.24,96.19,96.115,96.09,96.05,96.01,95.95,95.935,95.915,95.9,95.85,95.85,95.835,95.825,95.79,95.805,95.795,95.79,95.765,#N/A,#N/A,#N/A
